date,daily_return,portfolio
2020-01-02,-0.20935956132096303,79064.0438679037
2020-01-03,0.09979584143862537,86954.30665324153
2020-01-07,-0.14370198223087746,74458.80042365914
2020-01-08,0.6843914930060769,125417.77001304875
2020-01-09,0.8096991975642162,226968.43775290775
2020-01-10,-0.693992229474946,69454.1056163218
2020-01-13,0.520111433017143,105577.98001735094
2020-01-14,0.4429322937428761,152341.87687517575
2020-01-15,0.7076678355779863,260149.32315131943
2020-01-16,0.6318626718142885,424527.9695483909
2020-01-17,0.39351957043211394,591588.0337614912
2020-01-20,-0.6188058138476143,225509.91906720167
2020-01-21,-0.07659409043989278,208237.19193107553
2020-01-22,-0.39965377266110624,125014.41256746632
2020-01-23,-0.23191004389409378,96022.31466155087
2020-01-24,-0.2178019232919605,75108.46984931927
2020-01-27,0.5309449470981754,114986.93240009098
2020-01-28,-0.5937243193726549,46716.39422409749
2020-01-29,-0.5913392768098588,19091.155448455414
2020-01-30,0.7584604431640486,33571.04167040465
2020-01-31,0.7946814153554178,60249.324579997534
2020-02-03,0.7850392863000519,107547.41134833897
2020-02-04,-0.24764298309718602,80914.04957765614
2020-02-05,0.06111477424115889,85859.09345053253
2020-02-06,0.3117907059299483,112629.16080797947
2020-02-07,-0.25600768911417576,83795.22962265974
2020-02-10,-0.2080385752383425,66362.58944019185
2020-02-11,-0.1658801409716171,55354.353748611284
2020-02-12,-0.19670060079346421,44466.1191097255
2020-02-13,-0.4045524971049463,26477.239587320073
2020-02-14,-0.4505943867950862,14546.744051445005
2020-02-17,-0.3822761215363208,8985.871154477061
2020-02-18,-0.3910534642386642,5471.91511031652
2020-02-19,-0.22767711657679837,4226.085255846642
2020-02-20,-0.4190079717772865,2455.3218442364455
2020-02-21,-0.5982682117967361,986.3808350996431
2020-02-24,-0.14320523150940692,845.1259392527567
2020-02-25,-0.5117144298909891,412.66280106194563
2020-02-26,-0.5957084222537432,166.83609491852368
2020-02-27,0.5551107761983044,259.44860906663934
2020-02-28,0.5625034614208698,405.38934972745403
2020-03-02,1.1905268183327493,888.016242444462
2020-03-03,0.36194453997855264,1209.4288728095057
2020-03-04,1.6789921541910904,3240.0504613088397
2020-03-05,0.29108895657949185,4183.1933693561305
2020-03-06,-0.29795170372811264,2936.8037779323276
2020-03-09,1.653958588415743,7794.155608935302
2020-03-10,1.0574498451546377,16036.08425071509
2020-03-11,-0.7618489976318771,3819.0095383674684
2020-03-12,0.4210015036238892,5426.818296374147
2020-03-13,0.5496016565169298,8409.406621677761
2020-03-16,4.907178587136596,49675.86672609958
2020-03-17,0.5676782061923938,77875.7736402242
2020-03-18,14.338838291080593,1194523.8986601958
2020-03-19,0.6508609577071963,1971992.867346305
2020-03-20,0.0023282085138667252,1976584.0779293447
2020-03-23,-0.016910571158598436,1943158.912228568
2020-03-24,4.080704384766739,9872616.005658252
2020-03-25,-0.09439666836895817,8940673.94663806
2020-03-26,-0.6489062258967574,3139014.9589516902
2020-03-27,6.104330007726827,22300598.167583887
2020-03-30,2.336237973389082,74400102.43598434
2020-03-31,1.5044639536317925,186332374.6974357
2020-04-01,1.4337915519243172,453494159.3886155
2020-04-02,0.42574131111261915,646565357.3886397
2020-04-03,2.1113689731381196,2011703392.084973
2020-04-06,1.9367988470821775,5907968202.546454
2020-04-07,-0.06347503237282244,5532959729.632212
2020-04-08,-0.26451370378517264,4069416058.6529884
2020-04-09,1.506157263319847,10198596612.863611
2020-04-14,-0.5654742949598397,4431552383.624751
2020-04-15,0.06627245844252949,4725242254.804415
2020-04-16,0.2431059453487799,5873976740.160642
2020-04-17,0.11890149654824844,6572401365.255344
2020-04-20,0.3187851326101187,8667585206.045197
2020-04-21,0.10147535376635908,9547131481.128693
2020-04-22,-0.0013989417596939797,9533775600.214453
2020-04-23,-0.021151091206267864,9332125842.954226
2020-04-24,-0.009186612541494776,9246395218.646536
2020-04-27,0.23105850900305525,11382853511.519981
2020-04-28,13.578354703086548,165943276024.21255
2020-04-29,0.025633687483466467,170197014101.7998
2020-04-30,-0.5120527703397378,83047161527.4218
2020-05-04,-0.4892037058087329,42420182351.31062
2020-05-05,-0.26177892063052477,31315472802.434494
2020-05-06,0.2686692367270532,39728976978.01136
2020-05-07,-0.16126734629203845,33321990289.86998
2020-05-08,-0.16388344260999574,27861067806.549236
2020-05-11,0.09090230254266836,30393703021.46197
2020-05-12,0.09539423639391398,33293087112.37773
2020-05-13,-0.6459540161411581,11787283782.399902
2020-05-14,0.2350223816075605,14557559289.623701
2020-05-15,1.0439084180702258,29754317978.618294
2020-05-18,47.949100413755765,1456447098478.2053
2020-05-19,0.4006271935741729,2039939412130.7756
2020-05-20,1.027138387263617,4135239490022.272
2020-05-22,0.5082836505902727,6237114114075.85
2020-05-25,0.08805385783883875,6786316073601.3
2020-05-26,2.307171691266055,22443512406598.023
2020-05-27,0.26549099955980066,28402062949058.52
2020-05-28,0.269624747949061,36059962012931.79
2020-05-29,1.241801029093424,80839259949660.27
2020-06-01,7.086004658490261,653666632541858.0
2020-06-02,0.6434971912516694,1074299274597480.8
2020-06-03,-0.09487802606793512,972371880017457.2
2020-06-04,0.21932451735839584,1185636873295161.8
2020-06-05,-0.6249679699768181,444651803462222.56
2020-06-08,1.1499138120517802,955963053817166.0
2020-06-09,1.1143893442279296,2021278094466606.5
2020-06-10,0.10580963321098376,2235148788259514.2
2020-06-11,-0.0327206074097956,2162013362256394.2
2020-06-12,0.08925908813399304,2354992703504908.0
2020-06-15,0.40112419726800635,3299637261270326.5
2020-06-16,0.518031573072444,5008953542294644.0
2020-06-17,0.4534238181260049,7280132382257658.0
2020-06-18,-0.4100767484741558,4294719366480028.0
2020-06-22,-0.255245360184215,3198512174892709.0
2020-06-23,-0.22295878926488075,2485375772929650.0
2020-06-24,0.8279809493117153,4543219564796280.0
2020-06-25,1.0975037357671125,9529420009570434.0
2020-06-26,-0.7056801482798792,2804697484195521.5
2020-06-29,0.09955400095367144,3083916340211882.5
2020-06-30,0.1642506441663322,3590451585646762.0
2020-07-01,1.3654019760543987,8492861275616499.0
2020-07-02,0.9616324846889404,1.6659872566206076e+16
2020-07-03,1.1672662164696903,3.610637898342863e+16
2020-07-06,-0.3975091936605004,2.1753761387725476e+16
2020-07-07,0.027079838881280405,2.2342849741166904e+16
2020-07-08,0.7238154516705921,3.85149496181778e+16
2020-07-09,-0.6504548584924064,1.3462713514443798e+16
2020-07-10,-0.6531860413560513,4669056968033641.0
2020-07-13,-0.23561830587420216,3568941675195415.5
