date,cash,portfolio_value,positions,trades
2021-08-13,34,332595,SAAB-B.ST:58690; NIBE-B.ST:64972; RATO-B.ST:30326; G5EN.ST:24037; HM-B.ST:29455; BULTEN.ST:31329; BEIJ-B.ST:32518; HEXA-B.ST:28060; VOLV-B.ST:33173,
2021-08-16,34,329865,SAAB-B.ST:58506; NIBE-B.ST:64480; RATO-B.ST:29599; G5EN.ST:24738; HM-B.ST:28504; BULTEN.ST:30996; BEIJ-B.ST:32396; HEXA-B.ST:27841; VOLV-B.ST:32773,
2021-08-17,34,329565,SAAB-B.ST:58116; NIBE-B.ST:64510; RATO-B.ST:29521; G5EN.ST:24557; HM-B.ST:28631; BULTEN.ST:31396; BEIJ-B.ST:31993; HEXA-B.ST:28242; VOLV-B.ST:32565,
2021-08-18,34,329828,SAAB-B.ST:58208; NIBE-B.ST:65002; RATO-B.ST:29313; G5EN.ST:24749; HM-B.ST:28592; BULTEN.ST:30730; BEIJ-B.ST:32869; HEXA-B.ST:28166; VOLV-B.ST:32166,
2021-08-19,98,331276,SAAB-B.ST:57473; NIBE-B.ST:71552; BULTEN.ST:30430; BEIJ-B.ST:32483; HEXA-B.ST:27707; VOLV-B.ST:31251; EMBRAC-B.ST:26641; NOTE.ST:26812; NEWA-B.ST:26829,SELL RATO-B.ST 589 @ 48.75 fee 69.00; SELL G5EN.ST 69 @ 348.36 fee 69.00; SELL HM-B.ST 200 @ 140.03 fee 69.00; BUY EMBRAC-B.ST 46 @ 579.15 fee 69.00; BUY NOTE.ST 230 @ 116.57 fee 69.00; BUY NEWA-B.ST 459 @ 58.45 fee 69.00
2021-08-20,98,335646,SAAB-B.ST:57496; NIBE-B.ST:73489; BULTEN.ST:30830; BEIJ-B.ST:32798; HEXA-B.ST:28166; VOLV-B.ST:31548; EMBRAC-B.ST:27531; NOTE.ST:26900; NEWA-B.ST:26790,
2021-08-23,98,340185,SAAB-B.ST:57817; NIBE-B.ST:74996; BULTEN.ST:31329; BEIJ-B.ST:33394; HEXA-B.ST:28242; VOLV-B.ST:31941; EMBRAC-B.ST:27697; NOTE.ST:27253; NEWA-B.ST:27419,
2021-08-24,98,339591,SAAB-B.ST:58529; NIBE-B.ST:74288; BULTEN.ST:31562; BEIJ-B.ST:33464; HEXA-B.ST:28118; VOLV-B.ST:32039; EMBRAC-B.ST:28014; NOTE.ST:26768; NEWA-B.ST:26711,
2021-08-25,98,340643,SAAB-B.ST:59241; NIBE-B.ST:72321; BULTEN.ST:31429; BEIJ-B.ST:34374; HEXA-B.ST:28166; VOLV-B.ST:32143; EMBRAC-B.ST:28028; NOTE.ST:27385; NEWA-B.ST:27459,
2021-08-26,201,339974,SAAB-B.ST:58873; NIBE-B.ST:72505; BULTEN.ST:31396; BEIJ-B.ST:35022; HEXA-B.ST:28185; NOTE.ST:27341; NEWA-B.ST:27459; RATO-B.ST:29662; ELUX-B.ST:29330,SELL VOLV-B.ST 185 @ 174.01 fee 69.00; SELL EMBRAC-B.ST 46 @ 590.85 fee 69.00; BUY RATO-B.ST 596 @ 49.77 fee 69.00; BUY ELUX-B.ST 145 @ 202.28 fee 69.00
2021-08-27,201,343011,SAAB-B.ST:59952; NIBE-B.ST:73304; BULTEN.ST:31363; BEIJ-B.ST:34935; HEXA-B.ST:28414; NOTE.ST:28311; NEWA-B.ST:27459; RATO-B.ST:29662; ELUX-B.ST:29410,
2021-08-30,201,342741,SAAB-B.ST:59034; NIBE-B.ST:73397; BULTEN.ST:30797; BEIJ-B.ST:35022; HEXA-B.ST:28691; NOTE.ST:29237; NEWA-B.ST:26869; RATO-B.ST:29977; ELUX-B.ST:29516,
2021-08-31,201,343029,SAAB-B.ST:59034; NIBE-B.ST:73981; BULTEN.ST:30530; BEIJ-B.ST:34707; HEXA-B.ST:28577; NOTE.ST:30207; NEWA-B.ST:26790; RATO-B.ST:29977; ELUX-B.ST:29025,
2021-09-01,201,341741,SAAB-B.ST:58322; NIBE-B.ST:74596; BULTEN.ST:30464; BEIJ-B.ST:34480; HEXA-B.ST:28347; NOTE.ST:29237; NEWA-B.ST:26790; RATO-B.ST:30266; ELUX-B.ST:29038,
2021-09-02,201,346410,SAAB-B.ST:58001; NIBE-B.ST:76533; BULTEN.ST:30996; BEIJ-B.ST:35092; HEXA-B.ST:28921; NOTE.ST:29546; NEWA-B.ST:27183; RATO-B.ST:30739; ELUX-B.ST:29197,
2021-09-03,201,346945,SAAB-B.ST:58690; NIBE-B.ST:76748; BULTEN.ST:31829; BEIJ-B.ST:34987; HEXA-B.ST:28701; NOTE.ST:29237; NEWA-B.ST:27537; RATO-B.ST:30082; ELUX-B.ST:28932,
2021-09-06,201,347060,SAAB-B.ST:58483; NIBE-B.ST:77117; BULTEN.ST:31929; BEIJ-B.ST:34445; HEXA-B.ST:28949; NOTE.ST:29105; NEWA-B.ST:27183; RATO-B.ST:30371; ELUX-B.ST:29277,
2021-09-07,201,344583,SAAB-B.ST:57496; NIBE-B.ST:77394; BULTEN.ST:31729; BEIJ-B.ST:33902; HEXA-B.ST:28634; NOTE.ST:28311; NEWA-B.ST:28245; RATO-B.ST:29872; ELUX-B.ST:28799,
2021-09-08,201,337091,SAAB-B.ST:56440; NIBE-B.ST:75949; BULTEN.ST:30763; BEIJ-B.ST:33446; HEXA-B.ST:28309; NOTE.ST:27605; NEWA-B.ST:27065; RATO-B.ST:29189; ELUX-B.ST:28122,
2021-09-09,201,339797,SAAB-B.ST:56739; NIBE-B.ST:76779; BULTEN.ST:30697; BEIJ-B.ST:33499; HEXA-B.ST:28538; NOTE.ST:28311; NEWA-B.ST:27537; RATO-B.ST:29320; ELUX-B.ST:28175,
2021-09-10,201,339114,SAAB-B.ST:56509; NIBE-B.ST:77763; BULTEN.ST:30430; BEIJ-B.ST:33131; HEXA-B.ST:28739; NOTE.ST:27738; NEWA-B.ST:28127; RATO-B.ST:29110; ELUX-B.ST:27365,
2021-09-13,201,335500,SAAB-B.ST:56578; NIBE-B.ST:76502; BULTEN.ST:30064; BEIJ-B.ST:32816; HEXA-B.ST:28596; NOTE.ST:27253; NEWA-B.ST:26829; RATO-B.ST:29110; ELUX-B.ST:27551,
2021-09-14,201,337307,SAAB-B.ST:56234; NIBE-B.ST:78563; BULTEN.ST:29631; BEIJ-B.ST:33464; HEXA-B.ST:28806; NOTE.ST:27208; NEWA-B.ST:26751; RATO-B.ST:29031; ELUX-B.ST:27418,
2021-09-15,201,329623,SAAB-B.ST:56165; NIBE-B.ST:74565; BULTEN.ST:29065; BEIJ-B.ST:32641; HEXA-B.ST:28405; NOTE.ST:26723; NEWA-B.ST:26318; RATO-B.ST:28427; ELUX-B.ST:27113,
2021-09-16,494,334888,SAAB-B.ST:56348; BULTEN.ST:29698; BEIJ-B.ST:33341; HEXA-B.ST:28596; NOTE.ST:27473; NEWA-B.ST:26397; RATO-B.ST:29189; ELUX-B.ST:27219; LUND-B.ST:76134,SELL NIBE-B.ST 633 @ 120.95 fee 69.00; BUY LUND-B.ST 153 @ 497.61 fee 69.00
2021-09-17,494,331418,SAAB-B.ST:55453; BULTEN.ST:29532; BEIJ-B.ST:33044; HEXA-B.ST:28137; NOTE.ST:27517; NEWA-B.ST:26790; RATO-B.ST:28769; ELUX-B.ST:27206; LUND-B.ST:74478,
2021-09-20,494,324234,SAAB-B.ST:55889; BULTEN.ST:28266; BEIJ-B.ST:31433; HEXA-B.ST:27258; NOTE.ST:26547; NEWA-B.ST:26554; RATO-B.ST:27586; ELUX-B.ST:26927; LUND-B.ST:73281,
2021-09-21,494,324033,SAAB-B.ST:56050; BULTEN.ST:28133; BEIJ-B.ST:31415; HEXA-B.ST:27669; NOTE.ST:26238; NEWA-B.ST:26829; RATO-B.ST:27639; ELUX-B.ST:26582; LUND-B.ST:72985,
2021-09-22,494,329014,SAAB-B.ST:57519; BULTEN.ST:28233; BEIJ-B.ST:31713; HEXA-B.ST:27908; NOTE.ST:27517; NEWA-B.ST:27498; RATO-B.ST:28112; ELUX-B.ST:27006; LUND-B.ST:73014,
2021-09-23,32,333153,SAAB-B.ST:57473; BULTEN.ST:28699; BEIJ-B.ST:32536; HEXA-B.ST:28405; NOTE.ST:28179; NEWA-B.ST:27655; RATO-B.ST:28847; LUND-B.ST:73665; NIBE-B.ST:27662,SELL ELUX-B.ST 145 @ 188.54 fee 69.00; BUY NIBE-B.ST 233 @ 118.72 fee 69.00
2021-09-24,32,329851,SAAB-B.ST:57611; BULTEN.ST:29598; BEIJ-B.ST:32028; HEXA-B.ST:27372; NOTE.ST:27914; NEWA-B.ST:26987; RATO-B.ST:28269; LUND-B.ST:72807; NIBE-B.ST:27232,
2021-09-27,32,325459,SAAB-B.ST:58414; BULTEN.ST:29132; BEIJ-B.ST:31047; HEXA-B.ST:26933; NOTE.ST:27385; NEWA-B.ST:26042; RATO-B.ST:27586; LUND-B.ST:72527; NIBE-B.ST:26360,
2021-09-28,32,317869,SAAB-B.ST:57106; BULTEN.ST:28999; BEIJ-B.ST:29892; HEXA-B.ST:26044; NOTE.ST:26812; NEWA-B.ST:25688; RATO-B.ST:26824; LUND-B.ST:71255; NIBE-B.ST:25217,
2021-09-29,32,316629,SAAB-B.ST:57450; BULTEN.ST:28599; BEIJ-B.ST:29944; HEXA-B.ST:25814; NOTE.ST:26459; NEWA-B.ST:25610; RATO-B.ST:26824; LUND-B.ST:70679; NIBE-B.ST:25217,
2021-09-30,52,317160,SAAB-B.ST:57106; BULTEN.ST:28100; BEIJ-B.ST:30540; NEWA-B.ST:25767; RATO-B.ST:27061; LUND-B.ST:71344; EMBRAC-B.ST:25796; HPOL-B.ST:25799; CLAS-B.ST:25596,SELL HEXA-B.ST 192 @ 135.35 fee 69.00; SELL NOTE.ST 230 @ 115.61 fee 69.00; SELL NIBE-B.ST 233 @ 107.50 fee 69.00; BUY EMBRAC-B.ST 51 @ 505.80 fee 69.00; BUY HPOL-B.ST 298 @ 86.57 fee 69.00; BUY CLAS-B.ST 331 @ 77.33 fee 69.00
2021-10-01,52,317174,SAAB-B.ST:57565; BULTEN.ST:28566; BEIJ-B.ST:30207; NEWA-B.ST:26239; RATO-B.ST:26982; LUND-B.ST:71403; EMBRAC-B.ST:25282; HPOL-B.ST:25524; CLAS-B.ST:25355,
2021-10-04,52,312492,SAAB-B.ST:56670; BULTEN.ST:28433; BEIJ-B.ST:29594; NEWA-B.ST:26003; RATO-B.ST:26535; LUND-B.ST:70945; EMBRAC-B.ST:23935; HPOL-B.ST:25410; CLAS-B.ST:24915,
2021-10-05,52,316961,SAAB-B.ST:56234; BULTEN.ST:28533; BEIJ-B.ST:31012; NEWA-B.ST:25964; RATO-B.ST:27245; LUND-B.ST:71980; EMBRAC-B.ST:25263; HPOL-B.ST:25565; CLAS-B.ST:25113,
2021-10-06,52,311690,SAAB-B.ST:56050; BULTEN.ST:27767; BEIJ-B.ST:30259; NEWA-B.ST:25374; RATO-B.ST:26614; LUND-B.ST:71033; EMBRAC-B.ST:24407; HPOL-B.ST:25261; CLAS-B.ST:24872,
2021-10-07,152,318239,BULTEN.ST:28899; RATO-B.ST:27245; EMBRAC-B.ST:24480; HPOL-B.ST:25992; PCELL.ST:52884; ELAN-B.ST:52883; HUSQ-B.ST:52954; INVE-B.ST:52750,SELL SAAB-B.ST 948 @ 60.12 fee 69.00; SELL BEIJ-B.ST 197 @ 157.70 fee 69.00; SELL NEWA-B.ST 459 @ 56.48 fee 69.00; SELL LUND-B.ST 153 @ 472.00 fee 69.00; SELL CLAS-B.ST 331 @ 78.53 fee 69.00; BUY PCELL.ST 360 @ 146.90 fee 69.00; BUY ELAN-B.ST 438 @ 120.74 fee 69.00; BUY HUSQ-B.ST 584 @ 90.68 fee 69.00; BUY INVE-B.ST 301 @ 175.25 fee 69.00
2021-10-08,152,316925,BULTEN.ST:28932; RATO-B.ST:26798; EMBRAC-B.ST:23568; HPOL-B.ST:25825; PCELL.ST:52794; ELAN-B.ST:53927; HUSQ-B.ST:52652; INVE-B.ST:52276,
2021-10-11,152,318160,BULTEN.ST:28699; RATO-B.ST:26105; EMBRAC-B.ST:23574; HPOL-B.ST:25678; PCELL.ST:56466; ELAN-B.ST:52958; HUSQ-B.ST:52375; INVE-B.ST:52154,
2021-10-12,152,322295,BULTEN.ST:29432; RATO-B.ST:26299; EMBRAC-B.ST:24682; HPOL-B.ST:25812; PCELL.ST:57564; ELAN-B.ST:52808; HUSQ-B.ST:52501; INVE-B.ST:53045,
2021-10-13,152,330994,BULTEN.ST:29265; RATO-B.ST:27008; EMBRAC-B.ST:25649; HPOL-B.ST:26224; PCELL.ST:62100; ELAN-B.ST:53703; HUSQ-B.ST:53256; INVE-B.ST:53636,
2021-10-14,66,333857,RATO-B.ST:27219; EMBRAC-B.ST:25520; HPOL-B.ST:26636; HUSQ-B.ST:53080; NEWA-B.ST:50396; SAAB-B.ST:50378; LUND-B.ST:50237; CLAS-B.ST:50323,SELL BULTEN.ST 382 @ 78.00 fee 69.00; SELL PCELL.ST 360 @ 176.05 fee 69.00; SELL ELAN-B.ST 438 @ 123.46 fee 69.00; SELL INVE-B.ST 301 @ 181.23 fee 69.00; BUY NEWA-B.ST 866 @ 58.19 fee 69.00; BUY SAAB-B.ST 828 @ 60.84 fee 69.00; BUY LUND-B.ST 106 @ 473.93 fee 69.00; BUY CLAS-B.ST 637 @ 79.00 fee 69.00
2021-10-15,66,337337,RATO-B.ST:27271; EMBRAC-B.ST:25612; HPOL-B.ST:26662; HUSQ-B.ST:54742; NEWA-B.ST:51139; SAAB-B.ST:50619; LUND-B.ST:50411; CLAS-B.ST:50815,
2021-10-18,66,338537,RATO-B.ST:27271; EMBRAC-B.ST:25398; HPOL-B.ST:26817; HUSQ-B.ST:54359; NEWA-B.ST:53143; SAAB-B.ST:50238; LUND-B.ST:50268; CLAS-B.ST:50979,
2021-10-19,66,337570,RATO-B.ST:27691; EMBRAC-B.ST:25245; HPOL-B.ST:26739; HUSQ-B.ST:55049; NEWA-B.ST:52771; SAAB-B.ST:49396; LUND-B.ST:50534; CLAS-B.ST:50077,
2021-10-20,66,342232,RATO-B.ST:27560; EMBRAC-B.ST:25245; HPOL-B.ST:26997; HUSQ-B.ST:59677; NEWA-B.ST:50916; SAAB-B.ST:50559; LUND-B.ST:50534; CLAS-B.ST:50678,
2021-10-21,154,342794,RATO-B.ST:27665; EMBRAC-B.ST:25141; HPOL-B.ST:27074; NEWA-B.ST:51807; SAAB-B.ST:50799; CLAS-B.ST:49968; HOLM-B.ST:55049; INVE-B.ST:55136,SELL HUSQ-B.ST 584 @ 102.36 fee 69.00; SELL LUND-B.ST 106 @ 478.96 fee 69.00; BUY HOLM-B.ST 152 @ 362.16 fee 69.00; BUY INVE-B.ST 303 @ 181.97 fee 69.00
2021-10-22,154,342273,RATO-B.ST:27560; EMBRAC-B.ST:25704; HPOL-B.ST:26276; NEWA-B.ST:52623; SAAB-B.ST:48995; CLAS-B.ST:49859; HOLM-B.ST:55147; INVE-B.ST:55955,
2021-10-25,154,338975,RATO-B.ST:26262; EMBRAC-B.ST:25159; HPOL-B.ST:25632; NEWA-B.ST:53811; SAAB-B.ST:48314; CLAS-B.ST:49804; HOLM-B.ST:54035; INVE-B.ST:55803,
2021-10-26,154,338660,RATO-B.ST:26252; EMBRAC-B.ST:24082; HPOL-B.ST:25632; NEWA-B.ST:53365; SAAB-B.ST:48695; CLAS-B.ST:49340; HOLM-B.ST:54809; INVE-B.ST:56330,
2021-10-27,154,339363,RATO-B.ST:26483; EMBRAC-B.ST:24015; HPOL-B.ST:25941; NEWA-B.ST:53662; SAAB-B.ST:48855; CLAS-B.ST:49395; HOLM-B.ST:54542; INVE-B.ST:56316,
2021-10-28,305,339310,RATO-B.ST:26299; EMBRAC-B.ST:24021; HPOL-B.ST:25941; SAAB-B.ST:48274; INVE-B.ST:56246; BULTEN.ST:52887; ELUX-B.ST:52794; LUND-B.ST:52543,SELL NEWA-B.ST 866 @ 63.34 fee 69.00; SELL CLAS-B.ST 637 @ 77.41 fee 69.00; SELL HOLM-B.ST 152 @ 359.38 fee 69.00; BUY BULTEN.ST 751 @ 70.42 fee 69.00; BUY ELUX-B.ST 293 @ 180.18 fee 69.00; BUY LUND-B.ST 109 @ 482.05 fee 69.00
2021-10-29,305,335752,RATO-B.ST:25947; EMBRAC-B.ST:24431; HPOL-B.ST:25838; SAAB-B.ST:47873; INVE-B.ST:55489; BULTEN.ST:50465; ELUX-B.ST:53314; LUND-B.ST:52091,
2021-11-01,305,338644,RATO-B.ST:26667; EMBRAC-B.ST:25545; HPOL-B.ST:25915; SAAB-B.ST:47672; INVE-B.ST:56344; BULTEN.ST:50334; ELUX-B.ST:53423; LUND-B.ST:52438,
2021-11-02,305,342581,RATO-B.ST:26588; EMBRAC-B.ST:26316; HPOL-B.ST:26198; SAAB-B.ST:47853; INVE-B.ST:56695; BULTEN.ST:51316; ELUX-B.ST:54504; LUND-B.ST:52807,
2021-11-03,305,342997,RATO-B.ST:26667; EMBRAC-B.ST:24180; HPOL-B.ST:26559; SAAB-B.ST:47973; INVE-B.ST:57634; BULTEN.ST:51774; ELUX-B.ST:54846; LUND-B.ST:53059,
2021-11-04,190,348054,RATO-B.ST:27061; HPOL-B.ST:26855; SAAB-B.ST:48314; BULTEN.ST:53084; ELUX-B.ST:55147; LUND-B.ST:53691; HOLM-B.ST:27931; CEVI.ST:27753; SKA-B.ST:28029,SELL EMBRAC-B.ST 51 @ 498.00 fee 69.00; SELL INVE-B.ST 303 @ 193.22 fee 69.00; BUY HOLM-B.ST 78 @ 358.09 fee 69.00; BUY CEVI.ST 70 @ 396.48 fee 69.00; BUY SKA-B.ST 148 @ 189.38 fee 69.00
2021-11-05,190,349766,RATO-B.ST:27376; HPOL-B.ST:26933; SAAB-B.ST:49156; BULTEN.ST:53542; ELUX-B.ST:54982; LUND-B.ST:53839; HOLM-B.ST:27765; CEVI.ST:27955; SKA-B.ST:28029,
2021-11-08,190,349929,RATO-B.ST:27324; HPOL-B.ST:27139; SAAB-B.ST:49316; BULTEN.ST:55374; ELUX-B.ST:53793; LUND-B.ST:54302; HOLM-B.ST:27664; CEVI.ST:26531; SKA-B.ST:28297,
2021-11-09,190,348334,RATO-B.ST:26693; HPOL-B.ST:27332; SAAB-B.ST:49577; BULTEN.ST:55244; ELUX-B.ST:53820; LUND-B.ST:53649; HOLM-B.ST:27916; CEVI.ST:25859; SKA-B.ST:28054,
2021-11-10,190,350476,RATO-B.ST:26903; HPOL-B.ST:27268; SAAB-B.ST:49677; BULTEN.ST:55833; ELUX-B.ST:54627; LUND-B.ST:54007; HOLM-B.ST:27931; CEVI.ST:25859; SKA-B.ST:28182,
2021-11-11,98,354040,RATO-B.ST:27035; HPOL-B.ST:27796; BULTEN.ST:57011; ELUX-B.ST:54982; LUND-B.ST:54745; HOLM-B.ST:28653; CEVI.ST:25926; SKA-B.ST:28373; HEXA-B.ST:24809; NOTE.ST:24613,SELL SAAB-B.ST 828 @ 59.83 fee 69.00; BUY HEXA-B.ST 185 @ 134.10 fee 69.00; BUY NOTE.ST 134 @ 183.68 fee 69.00
2021-11-12,98,358929,RATO-B.ST:27823; HPOL-B.ST:28659; BULTEN.ST:57273; ELUX-B.ST:55119; LUND-B.ST:55650; HOLM-B.ST:29195; CEVI.ST:25859; SKA-B.ST:28705; HEXA-B.ST:25371; NOTE.ST:25178,
2021-11-15,98,366081,RATO-B.ST:27429; HPOL-B.ST:28852; BULTEN.ST:60611; ELUX-B.ST:57362; LUND-B.ST:56198; HOLM-B.ST:29036; CEVI.ST:25926; SKA-B.ST:28654; HEXA-B.ST:25196; NOTE.ST:26720,
2021-11-16,98,367371,RATO-B.ST:27928; HPOL-B.ST:28865; BULTEN.ST:59498; ELUX-B.ST:58976; LUND-B.ST:56219; HOLM-B.ST:29043; CEVI.ST:26585; SKA-B.ST:28730; HEXA-B.ST:25417; NOTE.ST:26013,
2021-11-17,98,367677,RATO-B.ST:28086; HPOL-B.ST:29470; BULTEN.ST:59629; ELUX-B.ST:59496; LUND-B.ST:56282; HOLM-B.ST:29281; CEVI.ST:24932; SKA-B.ST:28220; HEXA-B.ST:25656; NOTE.ST:26527,
2021-11-18,91,366578,LUND-B.ST:55713; HOLM-B.ST:29289; CEVI.ST:25094; SKA-B.ST:27825; HEXA-B.ST:25325; SAAB-B.ST:50863; NEWA-B.ST:50862; MEKO.ST:50829; CLAS-B.ST:50688,SELL RATO-B.ST 596 @ 49.42 fee 69.00; SELL HPOL-B.ST 298 @ 98.55 fee 69.00; SELL BULTEN.ST 751 @ 78.62 fee 69.00; SELL ELUX-B.ST 293 @ 201.66 fee 69.00; SELL NOTE.ST 134 @ 200.84 fee 69.00; BUY SAAB-B.ST 842 @ 60.41 fee 69.00; BUY NEWA-B.ST 679 @ 74.91 fee 69.00; BUY MEKO.ST 370 @ 137.38 fee 69.00; BUY CLAS-B.ST 550 @ 92.16 fee 69.00
2021-11-19,91,368046,LUND-B.ST:56051; HOLM-B.ST:29469; CEVI.ST:24838; SKA-B.ST:27838; HEXA-B.ST:25840; SAAB-B.ST:50313; NEWA-B.ST:51036; MEKO.ST:51363; CLAS-B.ST:51207,
2021-11-22,91,369188,LUND-B.ST:55756; HOLM-B.ST:29838; CEVI.ST:24838; SKA-B.ST:27748; HEXA-B.ST:25564; SAAB-B.ST:50843; NEWA-B.ST:51444; MEKO.ST:51530; CLAS-B.ST:51537,
2021-11-23,91,362412,LUND-B.ST:54176; HOLM-B.ST:29448; CEVI.ST:24126; SKA-B.ST:27672; HEXA-B.ST:24680; SAAB-B.ST:50048; NEWA-B.ST:49931; MEKO.ST:50562; CLAS-B.ST:51678,
2021-11-24,91,362508,LUND-B.ST:52975; HOLM-B.ST:29144; CEVI.ST:24059; SKA-B.ST:28093; HEXA-B.ST:24496; SAAB-B.ST:50007; NEWA-B.ST:48825; MEKO.ST:52998; CLAS-B.ST:51820,
2021-11-25,93,367418,HOLM-B.ST:29700; CEVI.ST:24288; SKA-B.ST:28042; HEXA-B.ST:25030; SAAB-B.ST:50619; NEWA-B.ST:49582; CLAS-B.ST:52480; NIBE-B.ST:53891; BEIJ-B.ST:53695,SELL LUND-B.ST 109 @ 506.11 fee 69.00; SELL MEKO.ST 370 @ 142.43 fee 69.00; BUY NIBE-B.ST 442 @ 121.93 fee 69.00; BUY BEIJ-B.ST 335 @ 160.28 fee 69.00
2021-11-26,93,356423,HOLM-B.ST:29166; CEVI.ST:23898; SKA-B.ST:26639; HEXA-B.ST:23989; SAAB-B.ST:48172; NEWA-B.ST:46730; CLAS-B.ST:52715; NIBE-B.ST:52818; BEIJ-B.ST:52202,
2021-11-29,93,361886,HOLM-B.ST:29505; CEVI.ST:23508; SKA-B.ST:26817; HEXA-B.ST:24588; SAAB-B.ST:48641; NEWA-B.ST:48825; CLAS-B.ST:52291; NIBE-B.ST:54578; BEIJ-B.ST:53038,
2021-11-30,93,361867,HOLM-B.ST:29245; CEVI.ST:22702; SKA-B.ST:26588; HEXA-B.ST:24312; SAAB-B.ST:48111; NEWA-B.ST:49232; CLAS-B.ST:52763; NIBE-B.ST:55394; BEIJ-B.ST:53426,
2021-12-01,93,368958,HOLM-B.ST:30004; CEVI.ST:22837; SKA-B.ST:27366; HEXA-B.ST:25177; SAAB-B.ST:48601; NEWA-B.ST:50804; CLAS-B.ST:53234; NIBE-B.ST:55716; BEIJ-B.ST:55127,
2021-12-02,323,361448,HOLM-B.ST:30192; CEVI.ST:22098; HEXA-B.ST:24348; SAAB-B.ST:48274; BEIJ-B.ST:53993; BULTEN.ST:45641; RATO-B.ST:45658; NOTE.ST:45700; G5EN.ST:45221,SELL SKA-B.ST 148 @ 183.96 fee 69.00; SELL NEWA-B.ST 679 @ 72.08 fee 69.00; SELL CLAS-B.ST 550 @ 95.25 fee 69.00; SELL NIBE-B.ST 442 @ 123.19 fee 69.00; BUY BULTEN.ST 604 @ 75.56 fee 69.00; BUY RATO-B.ST 968 @ 47.17 fee 69.00; BUY NOTE.ST 247 @ 185.02 fee 69.00; BUY G5EN.ST 133 @ 340.01 fee 69.00
2021-12-03,323,354155,HOLM-B.ST:29614; CEVI.ST:21614; HEXA-B.ST:23805; SAAB-B.ST:47826; BEIJ-B.ST:52590; BULTEN.ST:44904; RATO-B.ST:45231; NOTE.ST:45226; G5EN.ST:43021,
2021-12-06,323,341953,HOLM-B.ST:29722; CEVI.ST:21184; HEXA-B.ST:23998; SAAB-B.ST:45196; BEIJ-B.ST:50740; BULTEN.ST:45641; RATO-B.ST:44805; NOTE.ST:43095; G5EN.ST:37249,
2021-12-07,323,355359,HOLM-B.ST:30560; CEVI.ST:21493; HEXA-B.ST:24901; SAAB-B.ST:46338; BEIJ-B.ST:53904; BULTEN.ST:45273; RATO-B.ST:46426; NOTE.ST:46410; G5EN.ST:39732,
2021-12-08,323,356037,HOLM-B.ST:30242; CEVI.ST:21225; HEXA-B.ST:25748; SAAB-B.ST:45991; BEIJ-B.ST:53396; BULTEN.ST:46115; RATO-B.ST:46810; NOTE.ST:44800; G5EN.ST:41387,
2021-12-09,52,356800,CEVI.ST:21090; HEXA-B.ST:25757; SAAB-B.ST:45930; BEIJ-B.ST:55336; NOTE.ST:44516; HPOL-B.ST:41018; NEWA-B.ST:41054; NIBE-B.ST:41030; SKA-B.ST:41015,SELL HOLM-B.ST 78 @ 389.11 fee 69.00; SELL BULTEN.ST 604 @ 74.78 fee 69.00; SELL RATO-B.ST 968 @ 49.02 fee 69.00; SELL G5EN.ST 133 @ 311.51 fee 69.00; BUY HPOL-B.ST 408 @ 100.54 fee 69.00; BUY NEWA-B.ST 580 @ 70.78 fee 69.00; BUY NIBE-B.ST 324 @ 126.64 fee 69.00; BUY SKA-B.ST 211 @ 194.38 fee 69.00
2021-12-10,52,353551,CEVI.ST:20889; HEXA-B.ST:24929; SAAB-B.ST:45481; BEIJ-B.ST:53934; NOTE.ST:44848; HPOL-B.ST:41107; NEWA-B.ST:41461; NIBE-B.ST:40291; SKA-B.ST:40560,
2021-12-13,52,359984,CEVI.ST:20701; HEXA-B.ST:24873; SAAB-B.ST:44442; BEIJ-B.ST:54322; NOTE.ST:53514; HPOL-B.ST:40648; NEWA-B.ST:41207; NIBE-B.ST:40338; SKA-B.ST:39887,
2021-12-14,52,351141,CEVI.ST:20620; HEXA-B.ST:24247; SAAB-B.ST:44401; BEIJ-B.ST:52352; NOTE.ST:49844; HPOL-B.ST:40031; NEWA-B.ST:40341; NIBE-B.ST:39221; SKA-B.ST:40033,
2021-12-15,52,354307,CEVI.ST:20687; HEXA-B.ST:24744; SAAB-B.ST:44503; BEIJ-B.ST:53128; NOTE.ST:50909; HPOL-B.ST:40278; NEWA-B.ST:40646; NIBE-B.ST:39362; SKA-B.ST:39997,
2021-12-16,138,356012,CEVI.ST:20540; HEXA-B.ST:24956; SAAB-B.ST:44972; BEIJ-B.ST:53307; NOTE.ST:50436; NEWA-B.ST:40646; NIBE-B.ST:39976; SOBI.ST:40598; G5EN.ST:40443,SELL HPOL-B.ST 408 @ 100.02 fee 69.00; SELL SKA-B.ST 211 @ 192.40 fee 69.00; BUY SOBI.ST 236 @ 172.03 fee 69.00; BUY G5EN.ST 131 @ 308.73 fee 69.00
2021-12-17,138,356911,CEVI.ST:20150; HEXA-B.ST:24689; SAAB-B.ST:45339; BEIJ-B.ST:53068; NOTE.ST:50672; NEWA-B.ST:41156; NIBE-B.ST:39126; SOBI.ST:41207; G5EN.ST:41366,
2021-12-20,138,354029,CEVI.ST:20284; HEXA-B.ST:24689; SAAB-B.ST:44748; BEIJ-B.ST:52650; NOTE.ST:49015; NEWA-B.ST:40290; NIBE-B.ST:38969; SOBI.ST:41838; G5EN.ST:41409,
